*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=bb2636pp0420
*Date=18:12:57
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
146;;;82.2467;-37.199;-90;Bottom;TXT3
147;;;87.2059;-85.459;-90;Bottom;TXT3
148;;THT;50.3016;-24.3777;90;Bottom;J20
149;;;71.8245;-9.18791;-90;Bottom;TXT3
150;;;56.7761;-9.11848;-90;Bottom;TXT3
151;;;96.5301;-57.3315;-90;Bottom;TXT2
152;;;66.7798;-77.717;-90;Bottom;TXT3
153;;;96.51;-49.7318;-90;Bottom;TXT2
154;;;36.3551;-44.6875;-90;Bottom;TXT3
155;;THT;90.9261;-87.8694;90;Bottom;J40
156;;;10.9952;-44.6472;-90;Bottom;TXT3
157;;;41.43;-77.6166;-90;Bottom;TXT3
158;;;49.1581;-77.6269;-90;Bottom;TXT3
159;;;55.9705;-93.0024;-90;Bottom;TXT2
160;;;4.02176;-52.3976;90;Bottom;TXT2
161;;;97.1842;-4.08303;0;Bottom;TXT1
162;;;64.4486;-37.0737;-90;Bottom;TXT3
163;;;96.9217;-87.5909;0;Bottom;TXT1
164;;THT;50.2996;-52.3115;90;Bottom;J27
165;;THT;50.2875;-26.9177;90;Bottom;J19
166;;;21.2915;-77.6074;-90;Bottom;TXT3
167;;;4.04716;-21.8925;90;Bottom;TXT2
168;;;49.1228;-9.0976;-90;Bottom;TXT3
169;;;97.161;-42.1201;0;Bottom;TXT1
170;;;66.7849;-44.788;-90;Bottom;TXT3
171;;;23.6565;-9.06147;-90;Bottom;TXT3
172;;THT;50.3109;-4.03174;90;Bottom;J4
173;;;82.1612;-77.7481;-90;Bottom;TXT3
174;;;31.4876;-85.31;-90;Bottom;TXT3
175;;;18.7182;-77.5865;-90;Bottom;TXT3
176;;THT;50.2779;-49.7661;90;Bottom;J23
177;;;96.5301;-52.2716;-90;Bottom;TXT2
178;;;66.7445;-85.4279;-90;Bottom;TXT3
179;;;43.8354;-44.6709;-90;Bottom;TXT3
180;;;36.4355;-37.0675;-90;Bottom;TXT3
181;;THT;50.2999;-64.9973;90;Bottom;J30
182;;;4.0418;-16.8176;90;Bottom;TXT2
183;;;5.91518;-44.6472;-90;Bottom;TXT3
184;;;26.3362;-9.07812;-90;Bottom;TXT3
185;;;69.1852;-44.7713;-90;Bottom;TXT3
186;;;84.5615;-77.7314;-90;Bottom;TXT3
187;;;46.5462;-9.07925;-90;Bottom;TXT3
188;;;38.7554;-44.6709;-90;Bottom;TXT3
189;;;33.8879;-9.05329;-90;Bottom;TXT3
190;;;97.1489;-39.6289;0;Bottom;TXT1
191;;;54.0964;-9.10183;-90;Bottom;TXT3
192;;;41.4351;-44.6875;-90;Bottom;TXT3
193;;;96.9081;-80.2797;0;Bottom;TXT1
194;;;79.593;-44.7981;-90;Bottom;TXT3
195;;;2.19728;-97.8229;0;Bottom;Hole4
196;;;11.0756;-37.0272;-90;Bottom;TXT3
197;;;51.7365;-44.7186;-90;Bottom;TXT3
198;;;26.3715;-77.6074;-90;Bottom;TXT3
199;;;84.5262;-85.4423;-90;Bottom;TXT3
200;;;3.41582;-80.2689;0;Bottom;TXT1
201;;;96.5704;-21.8723;-90;Bottom;TXT2
202;;;79.5526;-85.4381;-90;Bottom;TXT3
203;;;10.9901;-77.5763;-90;Bottom;TXT3
204;;;54.2172;-37.0819;-90;Bottom;TXT3
205;;;10.9548;-85.2872;-90;Bottom;TXT3
206;;;5.99562;-37.0272;-90;Bottom;TXT3
207;;;96.9276;-92.7876;0;Bottom;TXT1
208;;;55.9651;-87.9273;-90;Bottom;TXT2
209;;;62.0483;-37.0904;-90;Bottom;TXT3
210;;;77.0967;-37.1595;-90;Bottom;TXT3
211;;;21.2966;-44.6782;-90;Bottom;TXT3
212;;;4.0418;-49.8977;90;Bottom;TXT2
213;;;38.7503;-77.5999;-90;Bottom;TXT3
214;;;96.51;-54.7715;-90;Bottom;TXT2
215;;;76.9759;-85.4196;-90;Bottom;TXT3
216;;THT;50.2855;-54.8515;90;Bottom;J25
217;;;13.3551;-85.2705;-90;Bottom;TXT3
218;;THT;50.3109;-11.6644;90;Bottom;J13
219;;;3.42796;-42.1201;0;Bottom;TXT1
220;;;31.6084;-37.05;-90;Bottom;TXT3
221;;;56.7761;-85.3587;-90;Bottom;TXT3
222;;;33.9283;-44.6534;-90;Bottom;TXT3
223;;;49.2436;-37.0777;-90;Bottom;TXT3
224;;;77.0112;-77.7086;-90;Bottom;TXT3
225;;;66.8653;-37.168;-90;Bottom;TXT3
226;;;96.5704;-34.4918;-90;Bottom;TXT2
227;;;8.27513;-9.03043;-90;Bottom;TXT3
228;;THT;50.3185;-16.7498;90;Bottom;J15
229;;;54.0964;-85.342;-90;Bottom;TXT3
230;;;5.87483;-85.2872;-90;Bottom;TXT3
231;;;79.5526;-9.19807;-90;Bottom;TXT3
232;;;33.8879;-85.2933;-90;Bottom;TXT3
233;;;41.3948;-9.08744;-90;Bottom;TXT3
234;;;59.2117;-77.631;-90;Bottom;TXT3
235;;;96.5651;-11.7374;-90;Bottom;TXT2
236;;;18.8037;-37.0373;-90;Bottom;TXT3
237;;;3.42796;-82.76;0;Bottom;TXT1
238;;;84.5666;-44.8024;-90;Bottom;TXT3
239;;;4.0418;-87.9374;90;Bottom;TXT2
240;;THT;90.923;-90.4094;90;Bottom;J39
